Model Properties change ,precise_change,E_A,E_T,G_A,G_T,nu_A,nu_T,E_{11} = E_{33},E_{22},G_{13},G_{21} = G_{23},nu_{13},nu_{21} = nu_{23},E_{11} = E_{33}_45,E_{22}_45,G_{13}_45,G_{21} = G_{23}_45,nu_{13}_45,nu_{21} = nu_{23}_45,j_integral
E_A,E_A-0.2E_A,83.5,8.7,6.6,3.2,0.3,0.36,43.9,4.9,2.3,1.8,0.034,0.046,8.354,4.9,21.228,1.8,0.816,0.046,260.719
E_A,E_A-0.1E_A,94,8.7,6.6,3.2,0.3,0.36,43.9,4.9,2.3,1.8,0.034,0.046,8.354,4.9,21.228,1.8,0.816,0.046,257.353
E_A,E_A,104.4,8.7,6.6,3.2,0.3,0.36,43.9,4.9,2.3,1.8,0.034,0.046,8.354,4.9,21.228,1.8,0.816,0.046,254.317
E_A,E_A+0.1E_A,114.8,8.7,6.6,3.2,0.3,0.36,43.9,4.9,2.3,1.8,0.034,0.046,8.354,4.9,21.228,1.8,0.816,0.046,251.541
E_A,E_A+0.2E_A,125.3,8.7,6.6,3.2,0.3,0.36,43.9,4.9,2.3,1.8,0.034,0.046,8.354,4.9,21.228,1.8,0.816,0.046,248.966
E_T,E_T-0.2E_T,104.4,7,6.6,3.2,0.3,0.09,43.9,4.9,2.3,1.8,0.034,0.046,8.354,4.9,21.228,1.8,0.816,0.046,254.455
E_T,E_T-0.1E_T,104.4,7.8,6.6,3.2,0.3,0.22,43.9,4.9,2.3,1.8,0.034,0.046,8.354,4.9,21.228,1.8,0.816,0.046,254.391
E_T,E_T,104.4,8.7,6.6,3.2,0.3,0.36,43.9,4.9,2.3,1.8,0.034,0.046,8.354,4.9,21.228,1.8,0.816,0.046,254.317
E_T,E_T+0.1E_T,104.4,9.6,6.6,3.2,0.3,0.5,43.9,4.9,2.3,1.8,0.034,0.046,8.354,4.9,21.228,1.8,0.816,0.046,254.243
E_T,E_T+0.2E_T,104.4,10.4,6.6,3.2,0.3,0.63,43.9,4.9,2.3,1.8,0.034,0.046,8.354,4.9,21.228,1.8,0.816,0.046,254.175
G_A,G_A-0.2G_A,104.4,8.7,5.3,3.2,0.3,0.36,43.9,4.9,2.3,1.8,0.034,0.046,8.354,4.9,21.228,1.8,0.816,0.046,254.348
G_A,G_A-0.1G_A,104.4,8.7,5.9,3.2,0.3,0.36,43.9,4.9,2.3,1.8,0.034,0.046,8.354,4.9,21.228,1.8,0.816,0.046,254.333
G_A,G_A,104.4,8.7,6.6,3.2,0.3,0.36,43.9,4.9,2.3,1.8,0.034,0.046,8.354,4.9,21.228,1.8,0.816,0.046,254.317
G_A,G_A+0.1G_A,104.4,8.7,7.3,3.2,0.3,0.36,43.9,4.9,2.3,1.8,0.034,0.046,8.354,4.9,21.228,1.8,0.816,0.046,254.305
G_A,G_A+0.2G_A,104.4,8.7,8,3.2,0.3,0.36,43.9,4.9,2.3,1.8,0.034,0.046,8.354,4.9,21.228,1.8,0.816,0.046,254.294
G_T,G_T-0.2G_T,104.4,8.7,6.6,2.6,0.3,0.67,43.9,4.9,2.3,1.8,0.034,0.046,8.354,4.9,21.228,1.8,0.816,0.046,254.225
G_T,G_T-0.1G_T,104.4,8.7,6.6,2.9,0.3,0.5,43.9,4.9,2.3,1.8,0.034,0.046,8.354,4.9,21.228,1.8,0.816,0.046,254.282
G_T,G_T,104.4,8.7,6.6,3.2,0.3,0.36,43.9,4.9,2.3,1.8,0.034,0.046,8.354,4.9,21.228,1.8,0.816,0.046,254.317
G_T,G_T+0.1G_T,104.4,8.7,6.6,3.5,0.3,0.24,43.9,4.9,2.3,1.8,0.034,0.046,8.354,4.9,21.228,1.8,0.816,0.046,254.34
G_T,G_T+0.2G_T,104.4,8.7,6.6,3.8,0.3,0.14,43.9,4.9,2.3,1.8,0.034,0.046,8.354,4.9,21.228,1.8,0.816,0.046,254.353
nu_A,nu_A-0.2nu_A,104.4,8.7,6.6,3.2,0.24,0.36,43.9,4.9,2.3,1.8,0.034,0.046,8.354,4.9,21.228,1.8,0.816,0.046,254.412
nu_A,nu_A-0.1nu_A,104.4,8.7,6.6,3.2,0.27,0.36,43.9,4.9,2.3,1.8,0.034,0.046,8.354,4.9,21.228,1.8,0.816,0.046,254.367
nu_A,nu_A,104.4,8.7,6.6,3.2,0.3,0.36,43.9,4.9,2.3,1.8,0.034,0.046,8.354,4.9,21.228,1.8,0.816,0.046,254.317
nu_A,nu_A+0.1nu_A,104.4,8.7,6.6,3.2,0.33,0.36,43.9,4.9,2.3,1.8,0.034,0.046,8.354,4.9,21.228,1.8,0.816,0.046,254.263
nu_A,nu_A+0.2nu_A,104.4,8.7,6.6,3.2,0.36,0.36,43.9,4.9,2.3,1.8,0.034,0.046,8.354,4.9,21.228,1.8,0.816,0.046,254.205
E11=E33,E11-0.2E11,104.4,8.7,6.6,3.2,0.3,0.36,35.1,4.9,2.3,1.8,0.034,0.046,8.166,4.9,16.973,1.8,0.775,0.046,302.653
E11=E33,E11-0.1E11,104.4,8.7,6.6,3.2,0.3,0.36,39.51,4.9,2.3,1.8,0.034,0.046,8.27,4.9,19.101,1.8,0.798,0.046,275.911
E11=E33,E11,104.4,8.7,6.6,3.2,0.3,0.36,43.9,4.9,2.3,1.8,0.034,0.046,8.354,4.9,21.228,1.8,0.816,0.046,254.317
E11=E33,E11+0.1E11,104.4,8.7,6.6,3.2,0.3,0.36,48.3,4.9,2.3,1.8,0.034,0.046,8.425,4.9,23.356,1.8,0.832,0.046,235.613
E11=E33,E11+0.2E11,104.4,8.7,6.6,3.2,0.3,0.36,52.7,4.9,2.3,1.8,0.034,0.046,8.485,4.9,25.484,1.8,0.844,0.046,220.512
E22,E22-0.2E22,104.4,8.7,6.6,3.2,0.3,0.36,43.9,3.9,2.3,1.8,0.034,0.046,8.354,3.9,21.228,1.8,0.816,0.046,254.707
E22,E22-0.1E22,104.4,8.7,6.6,3.2,0.3,0.36,43.9,4.4,2.3,1.8,0.034,0.046,8.354,4.4,21.228,1.8,0.816,0.046,254.498
E22,E22,104.4,8.7,6.6,3.2,0.3,0.36,43.9,4.9,2.3,1.8,0.034,0.046,8.354,4.9,21.228,1.8,0.816,0.046,254.317
E22,E22+0.1E22,104.4,8.7,6.6,3.2,0.3,0.36,43.9,5.4,2.3,1.8,0.034,0.046,8.4,5.4,21.228,1.8,0.816,0.046,254.16
E22,E22+0.2E22,104.4,8.7,6.6,3.2,0.3,0.36,43.9,5.9,2.3,1.8,0.034,0.046,8.354,5.9,21.228,1.8,0.816,0.046,254.021
G13,G13-0.2G13,104.4,8.7,6.6,3.2,0.3,0.36,43.9,4.9,1.8,1.8,0.034,0.046,6.672,4.9,21.228,1.8,0.853,0.046,256.584
G13,G13-0.1G13,104.4,8.7,6.6,3.2,0.3,0.36,43.9,4.9,2.1,1.8,0.034,0.046,7.689,4.9,21.228,1.8,0.831,0.046,254.996
G13,G13,104.4,8.7,6.6,3.2,0.3,0.36,43.9,4.9,2.3,1.8,0.034,0.046,8.354,4.9,21.228,1.8,0.816,0.046,254.317
G13,G13+0.1G13,104.4,8.7,6.6,3.2,0.3,0.36,43.9,4.9,2.5,1.8,0.034,0.046,9.009,4.9,21.228,1.8,0.802,0.046,253.222
G13,G13+0.2G13,104.4,8.7,6.6,3.2,0.3,0.36,43.9,4.9,2.8,1.8,0.034,0.046,9.971,4.9,21.228,1.8,0.781,0.046,251.851
